date,kl_divergence,trigger
2016-10-21,0.4350141726057565,1
2016-10-22,0.5058241804518757,1
2016-10-23,0.5181241170525012,1
2016-10-24,0.445706721977686,1
2016-10-25,0.4170281576043376,1
2016-10-26,0.4170281576043376,1
2016-10-27,0.49080929214662145,1
2016-10-28,0.5153986408914096,1
2016-10-29,0.5153986408914097,1
2016-10-30,0.4696590658689134,1
2016-10-31,0.5539855818202436,1
2016-11-01,0.6420281788648852,1
2016-11-02,0.5957483919723603,1
2016-11-03,0.5336963992751614,1
2016-11-04,0.5161603757684163,1
2016-11-05,0.5486822107405134,1
2016-11-06,0.532877749530811,1
2016-11-07,0.5896571731657227,1
2016-11-08,0.47740101658453293,1
2016-11-09,0.46414592213269446,1
2016-11-10,0.42683172236556643,1
2016-11-11,0.3919639031908602,1
2016-11-12,0.4881286969604182,1
2016-11-13,0.4412092619346623,1
2016-11-14,0.49586904277422217,1
2016-11-15,0.49484334370655014,1
2016-11-16,0.407305052238121,1
2016-11-17,0.5064201303757317,1
2016-11-18,0.4820680877294839,1
2016-11-19,0.543880537691154,1
2016-11-20,0.4616014795211742,1
2016-11-21,0.5622456423759362,1
2016-11-22,0.5719688340005609,1
2016-11-23,0.5847941106056427,1
2016-11-24,0.5957483919604345,1
2016-11-25,0.5449110302808775,1
2016-11-26,0.5736306800397931,1
2016-11-27,0.5182774592645212,1
2016-11-28,0.5182774592645212,1
2016-11-29,0.5182774592567903,1
2016-11-30,0.5581018315202848,1
2016-12-01,0.538399692419947,1
2016-12-02,0.5885528612756868,1
2016-12-03,0.5506742772720487,1
2016-12-04,0.45893726061451867,1
2016-12-05,0.4912183083435421,1
2016-12-06,0.46691063124405086,1
2016-12-07,0.43113966576868235,1
2016-12-08,0.4584994481554834,1
2016-12-09,0.5231979262254058,1
2016-12-10,0.4361986566518458,1
2016-12-11,0.47815484629596405,1
2016-12-12,0.4623426636847514,1
2016-12-13,0.5121326391456733,1
2016-12-14,0.523197926233553,1
2016-12-15,0.523197926233553,1
2016-12-16,0.42767469603548597,1
2016-12-17,0.42767469603548597,1
2016-12-18,0.42429839807639574,1
2016-12-19,0.3258907830675322,1
2016-12-20,0.3200483894724896,1
2016-12-21,0.41701078837372463,1
2016-12-22,0.39204783160513923,1
2016-12-23,0.49583138999079807,1
2016-12-24,0.4628152088678607,1
2016-12-25,0.47587773822407997,1
2016-12-26,0.48246632056034505,1
2016-12-27,0.4775035692242943,1
2016-12-28,0.44542748120095105,1
2016-12-29,0.42557880536307724,1
2016-12-30,0.493228817857955,1
2016-12-31,0.3726468805126761,1
2017-01-01,0.457274263826536,1
2017-01-02,0.4778738659563591,1
2017-01-03,0.5037615706752382,1
2017-01-04,0.5910721446827725,1
2017-01-05,0.5438805377101211,1
2017-01-06,0.4731654268787644,1
2017-01-07,0.5157881583184142,1
2017-01-08,0.5273670947704417,1
2017-01-09,0.46917793750833164,1
2017-01-10,0.4781548463403758,1
2017-01-11,0.5663738360095715,1
2017-01-12,0.5007120710838099,1
2017-01-13,0.48809044707458665,1
2017-01-14,0.5416203344900756,1
2017-01-15,0.5234881156995401,1
2017-01-16,0.42262372256079384,1
2017-01-17,0.2934063308668733,1
2017-01-18,0.37825253838647227,1
2017-01-19,0.395804880064008,1
2017-01-20,0.47251372748956144,1
2017-01-21,0.5121326392000392,1
2017-01-22,0.45198642073787737,1
2017-01-23,0.48473058681625364,1
2017-01-24,0.5273670947832108,1
2017-01-25,0.4668382436821041,1
2017-01-26,0.5312793484219605,1
2017-01-27,0.5088888456081407,1
2017-01-28,0.5500653317213873,1
2017-01-29,0.5074600952594842,1
2017-01-30,0.48473058681901166,1
2017-01-31,0.4239490565416833,1
2017-02-01,0.48473058681901166,1
2017-02-02,0.5298019943571982,1
2017-02-03,0.6073702206897965,1
2017-02-04,0.5690715808191238,1
2017-02-05,0.5156106559151521,1
2017-02-06,0.527367094793678,1
2017-02-07,0.4475972003483419,1
2017-02-08,0.48740696049602167,1
2017-02-09,0.5550080669170881,1
2017-02-10,0.5087416852729949,1
2017-02-11,0.5012001791125034,1
2017-02-12,0.5012001791125255,1
2017-02-13,0.4758777382490405,1
2017-02-14,0.42116183517894956,1
2017-02-15,0.40316434201972945,1
2017-02-16,0.32945342998403254,1
2017-02-17,0.49630841594114405,1
2017-02-18,0.6003286307598535,1
2017-02-19,0.620593637320254,1
2017-02-20,0.6656760310205907,1
2017-02-21,0.6840077309853366,1
2017-02-22,0.6840077309790905,1
2017-02-23,0.6840077309728847,1
2017-02-24,0.5762186415277648,1
2017-02-25,0.5981375572861721,1
2017-02-26,0.4778031392390963,1
2017-02-27,0.5228307190049283,1
2017-02-28,0.451169416159226,1
2017-03-01,0.49262556111479305,1
2017-03-02,0.584794110569067,1
2017-03-03,0.5671596148000835,1
2017-03-04,0.5449110302416854,1
2017-03-05,0.5333364203535765,1
2017-03-06,0.5503254040666083,1
2017-03-07,0.5273670947072817,1
2017-03-08,0.5237923905837848,1
2017-03-09,0.5048030939849428,1
2017-03-10,0.5291690302636876,1
2017-03-11,0.48473058673183667,1
2017-03-12,0.4653530150624523,1
2017-03-13,0.4851447278146805,1
2017-03-14,0.4748254562259523,1
2017-03-15,0.4785746777996319,1
2017-03-16,0.4785746777996319,1
2017-03-17,0.5366917277129312,1
2017-03-18,0.5217145130140552,1
2017-03-19,0.5428978168737272,1
2017-03-20,0.588552861233141,1
2017-03-21,0.589813853759873,1
2017-03-22,0.5370347799621445,1
2017-03-23,0.5408328357220249,1
2017-03-24,0.4888148067471277,1
2017-03-25,0.5217145130471685,1
2017-03-26,0.4974374687768331,1
2017-03-27,0.46917793746590947,1
2017-03-28,0.5267312047440184,1
2017-03-29,0.4948433436729841,1
2017-03-30,0.4491298519571857,1
2017-03-31,0.4322982988546094,1
2017-04-01,0.46281520883712296,1
2017-04-02,0.5390698899121158,1
2017-04-03,0.4616014794945739,1
2017-04-04,0.47072289715158755,1
2017-04-05,0.4478790375405705,1
2017-04-06,0.48973705360260844,1
2017-04-07,0.5469007828196525,1
2017-04-08,0.5343863706187206,1
2017-04-09,0.46281520884363697,1
2017-04-10,0.3975500221489811,1
2017-04-11,0.422882253437252,1
2017-04-12,0.36834371098263524,1
2017-04-13,0.4429890580931026,1
2017-04-14,0.48703349489954145,1
2017-04-15,0.5828331163923792,1
2017-04-16,0.5526591634739074,1
2017-04-17,0.5688355111319826,1
2017-04-18,0.581283365060301,1
2017-04-19,0.5588158928183211,1
2017-04-20,0.5501267681009763,1
2017-04-21,0.528232036368162,1
2017-04-22,0.4691779374940994,1
2017-04-23,0.45849944817635574,1
2017-04-24,0.4460100155327833,1
2017-04-25,0.5052976914142031,1
2017-04-26,0.4206847111132953,1
2017-04-27,0.405580241827633,1
2017-04-28,0.4433411763810271,1
2017-04-29,0.5149602488835349,1
2017-04-30,0.47339635678346237,1
2017-05-01,0.6274078280820647,1
2017-05-02,0.6110044677693454,1
2017-05-03,0.645129901038948,1
2017-05-04,0.6640290558335017,1
2017-05-05,0.5812833650745862,1
2017-05-06,0.5951855643412443,1
2017-05-07,0.5812833650705853,1
2017-05-08,0.5449110302987629,1
2017-05-09,0.5416211984315104,1
2017-05-10,0.5563936056207417,1
2017-05-11,0.5277477786361199,1
2017-05-12,0.4748254562909506,1
2017-05-13,0.5196114335385762,1
2017-05-14,0.5037615706648833,1
2017-05-15,0.493831476348398,1
2017-05-16,0.5526591634822138,1
2017-05-17,0.4952313036174312,1
2017-05-18,0.5074600952394014,1
2017-05-19,0.4824663205645781,1
2017-05-20,0.3982026030759011,1
2017-05-21,0.3952338573110525,1
2017-05-22,0.45198642072094974,1
2017-05-23,0.4507435333591684,1
2017-05-24,0.4298365035443478,1
2017-05-25,0.5187705573910188,1
2017-05-26,0.5831640779437226,1
2017-05-27,0.5583939608764266,1
2017-05-28,0.4597882421014906,1
2017-05-29,0.3728713026763491,1
2017-05-30,0.44601001556093084,1
2017-05-31,0.3906856711204566,1
2017-06-01,0.5096133235804113,1
2017-06-02,0.465353015146822,1
2017-06-03,0.507460095253535,1
2017-06-04,0.5065990501634553,1
2017-06-05,0.550126768129276,1
2017-06-06,0.5666125431882871,1
2017-06-07,0.605066851660721,1
